master_id,region,region_number,region_name,region_prefectures,site_name,site_name_dup_fix,site_name_period_mean,site_name_period_mean_round,site_occurances,site_period_occurances,location,specimin_number,sex,sex_unified,age_range,age_min,age_max,age_min_noxon,age_max_noxon,over_5_values,percentage_value_5_19,output_values_5_19,range_value_5_under,output_values_0_5,age_mean,culture_area,period,period_start,period_end,period_range,calBPmax,calBPmin,period_eng,period_min,period_max,period_numeric,period_min_kudo,period_max_kudo,period_min_noxon,period_max_noxon,period_min_neg_noxon,period_max_neg_noxon,period_mean_noxon,period_mean_round_noxon,burial_posture_1,burial_posture_2,cephalic_direction,burial_shape_1,burial_shape_2,burial_postition_location,upper_construction,lower_construction,burial_type,dental_equation,personal_accessories-_contents_location,grave_good_number_of,red_pigment_application_location,bone_lesions_presence_location_description,"injuries_sustained_during_life_presence,_location_description",frontal_suture,interparietal_bone_inca,right_lamboidal_sutural_ossicles,left_lamboidal_sutural_ossicles,right_zygomatic_horizontal_suture_remaining,left_zygomatic_horizontal_suture_remaining,right_supraorbital_foramen,left_supraorbital_foramen,right_condyloid_canal,left_condyloid_canal,right_hypoglossal_canal_bisects,left_hypoglossal_canal_bisects,right_parietal _foramen,left_parietal_foramen,references
11,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",東釧路貝塚,東釧路貝塚,東釧路貝塚-8050,東釧路貝塚-8050,20,19,,１３号墓出土人骨,遺存状態不良で不明,U,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,Initial,早期(Initial),早期(Initial),,10000,#ERROR!,10000,#ERROR!,-10000,-6100,-8050,-8050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",東釧路貝塚,東釧路貝塚,東釧路貝塚-8050,東釧路貝塚-8050,20,19,,１４号墓出土人骨,遺存状態不良で不明,U,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,Initial,早期(Initial),早期(Initial),,10000,#ERROR!,10000,#ERROR!,-10000,-6100,-8050,-8050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",東釧路貝塚,東釧路貝塚,東釧路貝塚-8050,東釧路貝塚-8050,20,19,,１５号墓出土人骨,遺存状態不良で不明,U,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,Initial,早期(Initial),早期(Initial),,10000,#ERROR!,10000,#ERROR!,-10000,-6100,-8050,-8050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",東釧路貝塚,東釧路貝塚,東釧路貝塚-8050,東釧路貝塚-8050,20,19,,１６号墓出土人骨,遺存状態不良で不明,U,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,Initial,早期(Initial),早期(Initial),,10000,#ERROR!,10000,#ERROR!,-10000,-6100,-8050,-8050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",東釧路貝塚,東釧路貝塚,東釧路貝塚-8050,東釧路貝塚-8050,20,19,,１８号墓出土人骨,遺存状態不良で不明,U,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,Initial,早期(Initial),早期(Initial),,10000,#ERROR!,10000,#ERROR!,-10000,-6100,-8050,-8050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",東釧路貝塚,東釧路貝塚,東釧路貝塚-8050,東釧路貝塚-8050,20,19,,１９号墓出土人骨,遺存状態不良で不明,U,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,Initial,早期(Initial),早期(Initial),,10000,#ERROR!,10000,#ERROR!,-10000,-6100,-8050,-8050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",東釧路貝塚,東釧路貝塚,東釧路貝塚-8050,東釧路貝塚-8050,20,19,,２０号墓出土人骨,遺存状態不良で不明,U,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,Initial,早期(Initial),早期(Initial),,10000,#ERROR!,10000,#ERROR!,-10000,-6100,-8050,-8050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",東釧路貝塚,東釧路貝塚,東釧路貝塚-8050,東釧路貝塚-8050,20,19,,２１号墓出土人骨,遺存状態不良で不明,U,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,Initial,早期(Initial),早期(Initial),,10000,#ERROR!,10000,#ERROR!,-10000,-6100,-8050,-8050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",東釧路貝塚,東釧路貝塚,東釧路貝塚-8050,東釧路貝塚-8050,20,19,,２２号墓出土人骨,遺存状態不良で不明,U,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,Initial,早期(Initial),早期(Initial),,10000,#ERROR!,10000,#ERROR!,-10000,-6100,-8050,-8050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",東釧路貝塚,東釧路貝塚,東釧路貝塚-8050,東釧路貝塚-8050,20,19,,２３号墓出土人骨,遺存状態不良で不明,U,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,Initial,早期(Initial),早期(Initial),,10000,#ERROR!,10000,#ERROR!,-10000,-6100,-8050,-8050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",東釧路貝塚,東釧路貝塚,東釧路貝塚-8050,東釧路貝塚-8050,20,19,,２４号墓出土人骨,遺存状態不良で不明,U,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,Initial,早期(Initial),早期(Initial),,10000,#ERROR!,10000,#ERROR!,-10000,-6100,-8050,-8050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",コタン温泉遺跡,コタン温泉遺跡,コタン温泉遺跡-5400,コタン温泉遺跡-5400,18,4,,８号,男性,M,熟年期(40-59),40,59,40,59,1,0,0,0,0,49.5,第二地域（南北海道～北東北）,前期(Early),Early Jomon,Early Jomon,Early Jomon_Early Jomon,7050,5415,Early,前期(Early),前期(Early),,6100,#ERROR!,6100,#ERROR!,-6100,-4700,-5400,-5400,下臥右側,屈葬(crouched burial),NW,単葬(single burial),単独葬(individual burial),更地(empty lot),,不明,,,首飾：サケ - マス椎骨製小玉２６,,なし,,,,,,,,,,,,,,,,,北海道八雲町教育委員会１９９２
23,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",コタン温泉遺跡,コタン温泉遺跡,コタン温泉遺跡-5400,コタン温泉遺跡-5400,18,4,,１０号,子供で不明,U,幼児期(2-5),2,5,2,5,0.25,0.25,0.25,1,1,3.5,第二地域（南北海道～北東北）,前期(Early),Early Jomon,Early Jomon,Early Jomon_Early Jomon,7050,5415,Early,前期(Early),前期(Early),,6100,#ERROR!,6100,#ERROR!,-6100,-4700,-5400,-5400,仰臥(supine),不明,SW,単葬(single burial),単独葬(individual burial),更地(empty lot),,不明,,,,,なし,,,,,,,,,,,,,,,,,北海道八雲町教育委員会１９９２
24,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",コタン温泉遺跡,コタン温泉遺跡,コタン温泉遺跡-5400,コタン温泉遺跡-5400,18,4,,１２号,子供で不明,U,新生児期(neonatal),0,0,0,0,0,0,0,1,1,0,第二地域（南北海道～北東北）,前期(Early),Early Jomon,Early Jomon,Early Jomon_Early Jomon,7050,5415,Early,前期(Early),前期(Early),,6100,#ERROR!,6100,#ERROR!,-6100,-4700,-5400,-5400,不明,不明,,単葬(single burial),単独葬(individual burial),,,土器棺墓,,,,,なし,,,,,,,,,,,,,,,,,北海道八雲町教育委員会１９９２
25,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",コタン温泉遺跡,コタン温泉遺跡,コタン温泉遺跡-5400,コタン温泉遺跡-5400,18,4,,１４号,子供で不明,U,新生児期(neonatal),0,0,0,0,0,0,0,1,1,0,第二地域（南北海道～北東北）,前期(Early),Early Jomon,Early Jomon,Early Jomon_Early Jomon,7050,5415,Early,前期(Early),前期(Early),,6100,#ERROR!,6100,#ERROR!,-6100,-4700,-5400,-5400,仰臥(supine),不明,W,単葬(single burial),単独葬(individual burial),更地(empty lot),,不明,,,,,なし,,,,,,,,,,,,,,,,,北海道八雲町教育委員会１９９２
26,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",美々５遺跡,美々５遺跡,美々５遺跡-5400,美々５遺跡-5400,2,2,,ＢＰ－１出土人骨,遺存状態不良で不明,U,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,前期(Early),Early Jomon,Early Jomon,Early Jomon_Early Jomon,7050,5415,Early,前期(Early),前期(Early),,6100,#ERROR!,6100,#ERROR!,-6100,-4700,-5400,-5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",美々５遺跡,美々５遺跡,美々５遺跡-5400,美々５遺跡-5400,2,2,,ＢＰ－１５出土人骨,遺存状態不良で不明,U,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,前期(Early),Early Jomon,Early Jomon,Early Jomon_Early Jomon,7050,5415,Early,前期(Early),前期(Early),,6100,#ERROR!,6100,#ERROR!,-6100,-4700,-5400,-5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",北黄金貝塚,北黄金貝塚,北黄金貝塚-5400,北黄金貝塚-5400,1,1,,０３６区出土人骨（北黄金１３号）,女性,F,熟年期(40-59),40,59,40,59,1,0,0,0,0,49.5,第二地域（南北海道～北東北）,前期(Early),Early Jomon,Early Jomon,Early Jomon_Early Jomon,7050,5415,Early,前期(Early),前期(Early),,6100,#ERROR!,6100,#ERROR!,-6100,-4700,-5400,-5400,下臥右側,屈葬(crouched burial),SW,単葬(single burial),単独葬(individual burial),土坑内(earthen pit),確認できます,土壙（無配石）,土坑墓(earthen grave),,,土器,なし,,,,,,,,,,,,,,,,,北海道伊達市教育委員会１９８６
29,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",コタン温泉遺跡,コタン温泉遺跡,コタン温泉遺跡-4350,コタン温泉遺跡-4350,18,4,,９号,男性,M,老年期(60-),60,70,60,70,1,0,0,0,0,65,第二地域（南北海道～北東北）,中期(Middle),Middle Jomon,Middle Jomon,Middle Jomon_Middle Jomon,5415,4395,Middle,中期(Middle),中期(Middle),,4700,#ERROR!,4700,#ERROR!,-4700,-4000,-4350,-4350,伏臥 (prone),屈葬(crouched burial),WNW,単葬(single burial),単独葬(individual burial),更地(empty lot),,不明,,,,土器２,頭部,,,,,,,,,,,,,,,,,北海道八雲町教育委員会１９９２
30,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",コタン温泉遺跡,コタン温泉遺跡,コタン温泉遺跡-4350,コタン温泉遺跡-4350,18,4,,１１号,子供で不明,U,新生児期(neonatal),0,0,0,0,0,0,0,1,1,0,第二地域（南北海道～北東北）,中期(Middle),Middle Jomon,Middle Jomon,Middle Jomon_Middle Jomon,5415,4395,Middle,中期(Middle),中期(Middle),,4700,#ERROR!,4700,#ERROR!,-4700,-4000,-4350,-4350,仰臥(supine),屈葬(crouched burial),S,単葬(single burial),単独葬(individual burial),更地(empty lot),,不明,,,,,なし,,,,,,,,,,,,,,,,,北海道八雲町教育委員会１９９２
31,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",コタン温泉遺跡,コタン温泉遺跡,コタン温泉遺跡-4350,コタン温泉遺跡-4350,18,4,,１５号,女性,F,青年期(17-20),17,20,17,20,1,0.75,0.75,0,0,18.5,第二地域（南北海道～北東北）,中期(Middle),Middle Jomon,Middle Jomon,Middle Jomon_Middle Jomon,5415,4395,Middle,中期(Middle),中期(Middle),,4700,#ERROR!,4700,#ERROR!,-4700,-4000,-4350,-4350,仰臥(supine),屈葬(crouched burial),WNW,単葬(single burial),単独葬(individual burial),土坑内(earthen pit),,土壙（無配石）,土坑墓(earthen grave),,,,なし,,,,,,,,,,,,,,,,,北海道八雲町教育委員会１９９２
32,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",コタン温泉遺跡,コタン温泉遺跡,コタン温泉遺跡-4350,コタン温泉遺跡-4350,18,4,,１６号,男性,M,熟年期(40-59),40,59,40,59,1,0,0,0,0,49.5,第二地域（南北海道～北東北）,中期(Middle),Middle Jomon,Middle Jomon,Middle Jomon_Middle Jomon,5415,4395,Middle,中期(Middle),中期(Middle),,4700,#ERROR!,4700,#ERROR!,-4700,-4000,-4350,-4350,下臥左側,屈葬(crouched burial),SSW,単葬(single burial),単独葬(individual burial),土坑内(earthen pit),,土壙（無配石）,土坑墓(earthen grave),,,,なし,,,,,,,,,,,,,,,,,北海道八雲町教育委員会１９９２
