PostholeID,PithouseID,Original_ID,Added_ID,Adapted_ID,Diameter,Major,Minor,Depth,Scale1m,D_Measure,D_Scaled,FlrLvlDep,FlrLvlDepScale,PostType,D_Ref,Notes
PH147-1011-1-1001,P147-1011-1,P1,,P1,,,,0.5,1.65,0.37,0.2242424242,,0,p,16,2 rebuilds at same spot. Other pits present but not assigned phases.
PH147-1011-1-1002,P147-1011-1,P2,,P2,,,,0.51,1.65,0.27,0.1636363636,,0,p,16,2 rebuilds at same spot. Other pits present but not assigned phases.
PH147-1011-1-1003,P147-1011-1,P3,,P3,,,,0.66,1.65,0.39,0.2363636364,,0,p,16,2 rebuilds at same spot. Other pits present but not assigned phases.
PH147-1011-1-1005,P147-1011-1,P5,,P5,,,,0.52,1.65,0.32,0.1939393939,,0,p,16,2 rebuilds at same spot. Other pits present but not assigned phases.
PH147-1011-1-1012,P147-1011-1,P12,,P12,,,,0.54,1.65,0.3,0.1818181818,,0,p,16,2 rebuilds at same spot. Other pits present but not assigned phases.
PH147-1011-2-1002,P147-1011-2,P2,,P2,,,,0.51,1.65,0.27,0.1636363636,,0,p,16,2 rebuilds at same spot. Other pits present but not assigned phases.
PH147-1011-2-1011,P147-1011-2,P11,,P11,,,,0.66,1.65,0.33,0.2,,0,p,16,P11 difficult to interpret. Several overlapping postholes present. 2 rebuilds at same spot. Other pits present but not assigned phases.
PH147-1011-2-1014,P147-1011-2,P14,,P14,,,,0.44,1.65,0.33,0.2,,0,p,16,2 rebuilds at same spot. Other pits present but not assigned phases.
PH147-1011-2-1015,P147-1011-2,P15,,P15,,,,0.53,1.65,0.28,0.1696969697,,0,p,16,2 rebuilds at same spot. Other pits present but not assigned phases.
PH147-1011-2-1021,P147-1011-2,P21,,P21,,,,0.4,1.65,0.33,0.2,,0,p,16,2 rebuilds at same spot. Other pits present but not assigned phases.
PH147-1011-3-1004,P147-1011-3,P4,,P4,,,,0.69,1.65,0.3,0.1818181818,,0,p,16,Multiple overlapping postholes. Posthole that was most interior measured. 2 rebuilds at same spot. Other pits present but not assigned phases.
PH147-1011-3-1006,P147-1011-3,P6,,P6,,,,0.65,1.65,0.36,0.2181818182,,0,p,16,2 rebuilds at same spot. Other pits present but not assigned phases.
PH147-1011-3-1007,P147-1011-3,P7,,P7,,,,0.63,1.65,0.39,0.2363636364,,0,p,16,2 rebuilds at same spot. Other pits present but not assigned phases.
PH147-1011-3-1008,P147-1011-3,P8,,P8,,,,0.77,1.65,0.35,0.2121212121,,0,p,16,2 rebuilds at same spot. Other pits present but not assigned phases.
PH147-1011-3-1009,P147-1011-3,P9,,P9,,,,0.76,1.65,0.29,0.1757575758,,0,p,16,2 rebuilds at same spot. Other pits present but not assigned phases.
PH147-1011-3-1010,P147-1011-3,P10,,P10,,,,0.75,1.65,0.49,0.296969697,,0,p,16,"Multiple overlapping postholes, most interior posthole measured. 2 rebuilds at same spot. Other pits present but not assigned phases."
PH147-1012-1-1001,P147-1012-1,P1,,P1,,,,0.68,1.67,0.31,0.1856287425,uk,#VALUE!,p,31,Sloped ground affected posthole depth measurements on the west side.
PH147-1012-1-1002,P147-1012-1,P2,,P2,,,,0.66,1.67,0.26,0.1556886228,uk,#VALUE!,p,31,Sloped ground affected posthole depth measurements on the west side.
PH147-1012-1-1003,P147-1012-1,P3,,P3,,,,0.76,1.67,0.25,0.1497005988,uk,#VALUE!,p,31,Sloped ground affected posthole depth measurements on the west side.
PH147-1012-1-1004,P147-1012-1,P4,,P4,,,,0.74,1.67,0.38,0.2275449102,uk,#VALUE!,p,31,Sloped ground affected posthole depth measurements on the west side.
PH147-1013-1-1001,P147-1013-1,P1,,P1,,,,0.59,1.64,0.26,0.1585365854,,0,p,37,3 rebuilds at same spot. Other shallow pits present but not assigned phases.
PH147-1013-1-1002,P147-1013-1,P2,,P2,,,,0.58,1.64,0.28,0.1707317073,,0,p,37,3 rebuilds at same spot. Other shallow pits present but not assigned phases.
PH147-1013-1-1003,P147-1013-1,P3,,P3,,,,0.64,1.64,0.11,0.06707317073,,0,p,37,3 rebuilds at same spot. Other shallow pits present but not assigned phases.
PH147-1013-1-1004,P147-1013-1,P4,,P4,,,,0.61,1.64,0.27,0.1646341463,,0,p,37,3 rebuilds at same spot. Other shallow pits present but not assigned phases.
PH147-1013-2-1005,P147-1013-2,P5,,P5,,,,0.63,1.64,0.45,0.2743902439,,0,p,37,Overlapping postholes. Most interior posthole measured. 3 rebuilds at same spot. Other shallow pits present but not assigned phases.
PH147-1013-2-1006,P147-1013-2,P6,,P6,,,,0.43,1.64,0.31,0.1890243902,,0,p,37,3 rebuilds at same spot. Other shallow pits present but not assigned phases.
PH147-1013-2-1007,P147-1013-2,P7,,P7,,,,0.47,1.64,0.28,0.1707317073,,0,p,37,3 rebuilds at same spot. Other shallow pits present but not assigned phases.
PH147-1013-2-1008,P147-1013-2,P8,,P8,,,,0.59,1.64,0.24,0.1463414634,,0,p,37,3 rebuilds at same spot. Other shallow pits present but not assigned phases.
PH147-1013-3-1009,P147-1013-3,P9,,P9,,,,0.76,1.64,0.61,0.3719512195,,0,p,37,3 rebuilds at same spot. 2 other shallow pits present but not assigned phases. Possible wall posts depicted in drawing but not in description. 
PH147-1013-3-1010,P147-1013-3,P10,,P10,,,,0.72,1.64,0.66,0.4024390244,,0,p,37,Overlapping postholes. Most interior posthole measured. 3 rebuilds at same spot. 2 other shallow pits present but not assigned phases. Possible wall posts depicted in drawing but not in description. 
PH147-1013-3-1011,P147-1013-3,P11,,P11,,,,0.64,1.64,0.43,0.262195122,,0,p,37,3 rebuilds at same spot. 2 other shallow pits present but not assigned phases. Possible wall posts depicted in drawing but not in description. 
PH147-1013-3-1012,P147-1013-3,P12,,P12,,,,0.75,1.64,0.5,0.3048780488,,0,p,37,3 rebuilds at same spot. 2 other shallow pits present but not assigned phases. Possible wall posts depicted in drawing but not in description. 
PH147-1013-4-1012,P147-1013-4,P12,,P12,,,,0.75,1.64,0.5,0.3048780488,,0,p,37,3 rebuilds at same spot. P17 depth of .14m possibly related to entrance. Possible wall posts depicted in drawing but not in description. 
PH147-1013-4-1013,P147-1013-4,P13,,P13,,,,0.43,1.64,0.41,0.25,,0,p,37,3 rebuilds at same spot. P17 depth of .14m possibly related to entrance. Possible wall posts depicted in drawing but not in description. 
PH147-1013-4-1014,P147-1013-4,P14,,P14,,,,0.4,1.64,0.32,0.1951219512,,0,p,37,3 rebuilds at same spot. P17 depth of .14m possibly related to entrance. Possible wall posts depicted in drawing but not in description. 
PH147-1013-4-1015,P147-1013-4,P15,,P15,,,,0.88,1.64,0.51,0.3109756098,,0,p,37,3 rebuilds at same spot. P17 depth of .14m possibly related to entrance. Possible wall posts depicted in drawing but not in description. 
PH147-1013-4-1016,P147-1013-4,P16,,P16,,,,0.62,1.64,0.39,0.237804878,,0,p,37,3 rebuilds at same spot. P17 depth of .14m possibly related to entrance. Possible wall posts depicted in drawing but not in description. 
PH147-1014-1-1001,P147-1014-1,P1,,P1,,,,0.76,1.65,0.57,0.3454545455,uk,#VALUE!,p,44,"Sloped ground affecting posthole depths. 2 rebuilds at same spot. P9 depth of .43m significantly tilted and thought to be a support pillar, phase not assigned though."
PH147-1014-1-1002,P147-1014-1,P2,,P2,,,,0.81,1.65,0.69,0.4181818182,uk,#VALUE!,p,44,"Sloped ground affecting posthole depths. 2 rebuilds at same spot. P9 depth of .43m significantly tilted and thought to be a support pillar, phase not assigned though."
PH147-1014-1-1003,P147-1014-1,P3,,P3,,,,0.82,1.65,0.44,0.2666666667,uk,#VALUE!,p,44,"Sloped ground affecting posthole depths. 2 rebuilds at same spot. P9 depth of .43m significantly tilted and thought to be a support pillar, phase not assigned though."
PH147-1014-1-1004,P147-1014-1,P4,,P4,,,,0.73,1.65,0.54,0.3272727273,uk,#VALUE!,p,44,"Sloped ground affecting posthole depths. 2 rebuilds at same spot. P9 depth of .43m significantly tilted and thought to be a support pillar, phase not assigned though."
PH147-1014-1-1005,P147-1014-1,P5,,P5,,,,0.72,1.65,0.64,0.3878787879,uk,#VALUE!,p,44,"Sloped ground affecting posthole depths. 2 rebuilds at same spot. P9 depth of .43m significantly tilted and thought to be a support pillar, phase not assigned though."
PH147-1014-2-1001,P147-1014-2,P1,,P1,,,,0.76,1.65,0.57,0.3454545455,uk,#VALUE!,p,44,"Sloped ground affecting posthole depths. 2 rebuilds at same spot. P9 depth of .43m significantly tilted and thought to be a support pillar, phase not assigned though."
PH147-1014-2-1002,P147-1014-2,P2,,P2,,,,0.81,1.65,0.69,0.4181818182,uk,#VALUE!,p,44,"Sloped ground affecting posthole depths. 2 rebuilds at same spot. P9 depth of .43m significantly tilted and thought to be a support pillar, phase not assigned though."
PH147-1014-2-1006,P147-1014-2,P6,,P6,,,,0.69,1.65,0.32,0.1939393939,uk,#VALUE!,p,44,"Sloped ground affecting posthole depths. 2 rebuilds at same spot. P9 depth of .43m significantly tilted and thought to be a support pillar, phase not assigned though."
PH147-1014-2-1007,P147-1014-2,P7,,P7,,,,0.61,1.65,0.56,0.3393939394,uk,#VALUE!,p,44,"Sloped ground affecting posthole depths. 2 rebuilds at same spot. P9 depth of .43m significantly tilted and thought to be a support pillar, phase not assigned though."
PH147-1014-2-1008,P147-1014-2,P8,,P8,,,,0.92,1.65,1.01,0.6121212121,uk,#VALUE!,p,44,"Sloped ground affecting posthole depths. 2 rebuilds at same spot. P9 depth of .43m significantly tilted and thought to be a support pillar, phase not assigned though."
PH147-1015-1-1001,P147-1015-1,P1,,P1,,,,0.9,1.65,0.39,0.2363636364,,0,p,52,
PH147-1015-1-1002,P147-1015-1,P2,,P2,,,,0.9,1.65,0.53,0.3212121212,,0,p,52,
PH147-1015-1-1003,P147-1015-1,P3,,P3,,,,0.94,1.65,0.54,0.3272727273,,0,p,52,
PH147-1015-1-1004,P147-1015-1,P4,,P4,,,,0.86,1.65,0.46,0.2787878788,,0,p,52,
PH147-1015-1-1005,P147-1015-1,P5,,P5,,,,0.76,1.65,0.44,0.2666666667,,0,p,52,
PH147-1015-1-1006,P147-1015-1,P6,,P6,,,,0.87,1.65,0.48,0.2909090909,,0,p,52,
PH147-1016-1-1001,P147-1016-1,P1,,P1,,,,0.52,1.64,0.22,0.1341463415,,0,p,71,"P147-016 located on hill and cut into by P147-015, yielding only 3 posts."
PH147-1016-1-1002,P147-1016-1,P2,,P2,,,,0.52,1.64,0.2,0.1219512195,,0,p,71,"P147-016 located on hill and cut into by P147-015, yielding only 3 posts."
PH147-1016-1-1003,P147-1016-1,P3,,P3,,,,0.4,1.64,0.17,0.1036585366,,0,p,71,"P147-016 located on hill and cut into by P147-015, yielding only 3 posts."
PH147-1017-1-1001,P147-1017-1,P1,,P1,,,,0.56,1.65,0.36,0.2181818182,,0,p,74,
PH147-1017-1-1002,P147-1017-1,P2,,P2,,,,0.52,1.65,0.3,0.1818181818,,0,p,74,Multiple overlapping postholes. Most interior posthole measured. 
PH147-1017-1-1003,P147-1017-1,P3,,P3,,,,0.5,1.65,0.22,0.1333333333,,0,p,74,P3 located on East side which was degraded. Measurement of depth based on expected floor height.
PH147-1017-1-1004,P147-1017-1,P4,,P4,,,,0.5,1.65,0.23,0.1393939394,,0,p,74,
PH147-1018-1-1001,P147-1018-1,P1,,P1,,,,0.52,1.65,0.49,0.296969697,,0,p,77,
PH147-1018-1-1002,P147-1018-1,P2,,P2,,,,0.66,1.65,0.39,0.2363636364,,0,p,77,
PH147-1018-1-1003,P147-1018-1,P3,,P3,,,,0.73,1.65,0.22,0.1333333333,,0,p,77,
PH147-1018-1-1004,P147-1018-1,P4,,P4,,,,0.58,1.65,0.34,0.2060606061,,0,p,77,P4 slightly cut into by J14号住居跡 causing slight uncertainty in depth
PH147-1019-1-1001,P147-1019-1,P1,,P1,,,,0.52,1.63,0.3,0.1840490798,,0,p,80,P5 depth of .38m thought to be indoor burial.
PH147-1019-1-1002,P147-1019-1,P2,,P2,,,,0.52,1.63,0.23,0.1411042945,,0,p,80,P5 depth of .38m thought to be indoor burial.
PH147-1019-1-1003,P147-1019-1,P3,,P3,,,,0.68,1.63,0.32,0.1963190184,,0,p,80,P5 depth of .38m thought to be indoor burial.
PH147-1019-1-1004,P147-1019-1,P4,,P4,,,,0.52,1.63,,0,,0,p,80,Poor preservation of dwelling. Expected position of P4 would result in this depth. P5 depth of .38m thought to be indoor burial. Unable to measure diameter.
PH147-1020-1-1001,P147-1020-1,P1,,P1,,,,0.72,1.65,0.29,0.1757575758,,0,p,82,"Overlapping postholes, most interior posthole measured."
PH147-1020-1-1002,P147-1020-1,P2,,P2,,,,0.65,1.65,0.31,0.1878787879,,0,p,82,
PH147-1020-1-1003,P147-1020-1,P3,,P3,,,,0.5,1.65,0.25,0.1515151515,,0,p,82,
PH147-1020-1-1004,P147-1020-1,P4,,P4,,,,0.52,1.65,0.31,0.1878787879,,0,p,82,SW portion of dwelling suffered erosion. Depth calculated from estimated floor level.
PH147-1020-1-1005,P147-1020-1,P5,,P5,,,,0.62,1.65,0.28,0.1696969697,,0,p,82,
PH147-1020-2-1006,P147-1020-2,P6,,P6,,,,0.48,1.65,0.58,0.3515151515,,0,p,82,Multiple overlapping postholes. P1 is located within P6. Posthole directly exterior to P1 measured for diameter. SW portion of dwelling suffered erosion. Depth calculated from estimated floor level.
PH147-1020-2-1007,P147-1020-2,P7,,P7,,,,0.6,1.65,0.52,0.3151515152,,0,p,82,P7 cut into by P12 making diameter difficult to measure.
PH147-1020-2-1008,P147-1020-2,P8,,P8,,,,0.44,1.65,0.37,0.2242424242,,0,p,82,SW portion of dwelling suffered erosion. Depth calculated from estimated floor level.
PH147-1020-2-1009,P147-1020-2,P9,,P9,,,,0.45,1.65,0.28,0.1696969697,,0,p,82,SW portion of dwelling suffered erosion. Depth calculated from estimated floor level.
PH147-1020-2-1010,P147-1020-2,P10,,P10,,,,0.5,1.65,0.41,0.2484848485,,0,p,82,P5 is located inside of P10 making diameter difficult to measure.
PH147-1020-3-1011,P147-1020-3,P11,,P11,,,,0.56,1.65,0.46,0.2787878788,,0,p,82,
PH147-1020-3-1012,P147-1020-3,P12,,P12,,,,0.52,1.65,0.35,0.2121212121,,0,p,82,
PH147-1020-3-1013,P147-1020-3,P13,,P13,,,,0.5,1.65,0.28,0.1696969697,,0,p,82,
PH147-1020-3-1014,P147-1020-3,P14,,P14,,,,0.5,1.65,0.23,0.1393939394,,0,p,82,SW portion of dwelling suffered erosion. Depth calculated from estimated floor level.
PH147-1020-3-1015,P147-1020-3,P15,,P15,,,,0.48,1.65,0.57,0.3454545455,,0,p,82,
PH147-1020-4-1016,P147-1020-4,P16,,P16,,,,0.66,1.65,0.51,0.3090909091,,0,p,82,
PH147-1020-4-1017,P147-1020-4,P17,,P17,,,,0.82,1.65,0.44,0.2666666667,,0,p,82,
PH147-1020-4-1018,P147-1020-4,P18,,P18,,,,0.68,1.65,0.2,0.1212121212,,0,p,82,SW portion of dwelling suffered erosion. Depth calculated from estimated floor level.
PH147-1020-4-1019,P147-1020-4,P19,,P19,,,,0.76,1.65,0.22,0.1333333333,,0,p,82,SW portion of dwelling suffered erosion. Depth calculated from estimated floor level.
PH147-1020-4-1020,P147-1020-4,P20,,P20,,,,0.6,1.65,0.26,0.1575757576,,0,p,82,SW portion of dwelling suffered erosion. Depth calculated from estimated floor level.
PH147-1020-4-1021,P147-1020-4,P21,,P21,,,,0.7,1.65,0.49,0.296969697,,0,p,82,
PH147-1021-1-1001,P147-1021-1,P1,,P1,,,,0.66,1.65,0.41,0.2484848485,,0,p,90,"P1-5 primary. P8-10 entrance. P6 supported P3, P7 supported P4. "
PH147-1021-1-1002,P147-1021-1,P2,,P2,,,,0.55,1.65,0.41,0.2484848485,,0,p,90,"P1-5 primary. P8-10 entrance. P6 supported P3, P7 supported P4. "
PH147-1021-1-1003,P147-1021-1,P3,,P3,,,,0.42,1.65,0.36,0.2181818182,,0,p,90,"P1-5 primary. P8-10 entrance. P6 supported P3, P7 supported P4. "
PH147-1021-1-1004,P147-1021-1,P4,,P4,,,,0.66,1.65,0.45,0.2727272727,,0,p,90,"P1-5 primary. P8-10 entrance. P6 supported P3, P7 supported P4. "
PH147-1021-1-1005,P147-1021-1,P5,,P5,,,,0.54,1.65,0.46,0.2787878788,,0,p,90,"P1-5 primary. P8-10 entrance. P6 supported P3, P7 supported P4. "
PH147-1022-1-1001,P147-1022-1,P1,,P1,,,,0.56,1.65,0.42,0.2545454545,,0,p,103,
PH147-1022-1-1002,P147-1022-1,P2,,P2,,,,0.74,1.65,0.34,0.2060606061,,0,p,103,
PH147-1022-1-1003,P147-1022-1,P3,,P3,,,,0.5,1.65,0.3,0.1818181818,,0,p,103,P3 depth estimated due to erosion on S side of pithouse. Depth measured from estimated floor level.
PH147-1022-1-1004,P147-1022-1,P4,,P4,,,,0.56,1.65,0.2,0.1212121212,,0,p,103,Multiple overlapping postholes. Most interior posthole measured.
PH147-1023-1-1002,P147-1023-1,P2,,P2,,,,0.7,1.65,0.37,0.2242424242,uk,#VALUE!,p,109,Sloped ground affecting posthole depths.
PH147-1023-1-1004,P147-1023-1,P4,,P4,,,,0.66,1.65,0.22,0.1333333333,uk,#VALUE!,p,109,Sloped ground affecting posthole depths. P1 newer than P4-P5. Unsure if P4 or P5 was main pillar for initial building. 
PH147-1023-1-1005,P147-1023-1,P5,,P5,,,,0.64,1.65,,0,uk,#VALUE!,p,109,"Sloped ground affecting posthole depths. P1 newer than P4-P5. Unsure if P4 or P5 was main pillar for initial building. P1 covers a significant amount of P5, unable to get an accurate measurement of P5."
PH147-1023-1-1006,P147-1023-1,P6,,P6,,,,0.54,1.65,0.19,0.1151515152,uk,#VALUE!,p,109,"Sloped ground affecting posthole depths. Drawing shows the innermost circle with a diameter of apx 3cm, so the next innermost circle measured for P6"
PH147-1023-1-1007,P147-1023-1,P7,,P7,,,,0.98,1.65,0.28,0.1696969697,uk,#VALUE!,p,109,Sloped ground affecting posthole depths. P7 depth determined from estimated floor height
PH147-1023-1-1009,P147-1023-1,P9,,P9,,,,0.72,1.65,0.37,0.2242424242,uk,#VALUE!,p,109,Sloped ground affecting posthole depths. P9 consists of overlapping postholes. Newer posthole measured.
PH147-1023-2-1001,P147-1023-2,P1,,P1,,,,0.88,1.65,0.49,0.296969697,uk,#VALUE!,p,109,Sloped ground affecting posthole depths. P1 newer than P4-P5. Unsure if P4 or P5 was main pillar for initial building. 
PH147-1023-2-1003,P147-1023-2,P3,,P3,,,,0.72,1.65,0.44,0.2666666667,uk,#VALUE!,p,109,Sloped ground affecting posthole depths.
PH147-1023-2-1006,P147-1023-2,P6,,P6,,,,0.54,1.65,0.19,0.1151515152,uk,#VALUE!,p,109,Sloped ground affecting posthole depths.
PH147-1023-2-1008,P147-1023-2,P8,,P8,,,,0.3,1.65,0.43,0.2606060606,uk,#VALUE!,p,109,Sloped ground affecting posthole depths.
PH147-1023-2-1010,P147-1023-2,P10,,P10,,,,0.9,1.65,0.37,0.2242424242,uk,#VALUE!,p,109,Sloped ground affecting posthole depths.
PH147-1024-1-1001,P147-1024-1,P1,,P1,,,,0.57,1.66,0.45,0.2710843373,,0,p,116,
PH147-1024-1-1002,P147-1024-1,P2,,P2,,,,0.68,1.66,0.33,0.1987951807,,0,p,116,
PH147-1024-1-1003,P147-1024-1,P3,,P3,,,,0.37,1.66,0.32,0.1927710843,,0,p,116,
PH147-1024-1-1004,P147-1024-1,P4,,P4,,,,0.46,1.66,0.37,0.2228915663,,0,p,116,
PH147-1024-1-1005,P147-1024-1,P5,,P5,,,,0.65,1.66,0.43,0.2590361446,,0,p,116,
PH147-1025-1-1009,P147-1025-1,P9,,P9,,,,0.57,1.65,0.28,0.1696969697,uk,#VALUE!,p,123,Sloped ground affecting posthole depths. P9 and P10 considered same pit. 
PH147-1025-1-1010,P147-1025-1,P10,,P10,,,,0.53,1.65,0.43,0.2606060606,uk,#VALUE!,p,123,Sloped ground affecting posthole depths. P9 and P10 considered same pit.
