PithouseID,OriginalID,SiteID,PitNum,BuildNum,Length,Width,RecFloor,ShapeFormula,Shape,PillarPosition,PillarConfig,Rebuild,PubPeriod,PhaseStart,PhaseEnd,PhaseStartRom,PhaseEndRom,TotalPhaseRom,NumPhaseStart,NumPhaseEnd,NumPhaseMed,topo_after1,topo_after2,topo_after3,topo_after4,topo_after5,topo_after6,topo_after7,topo_after8,topo_after9,topo_after10,topo_after11,topo_after12,topo_after13,Reference,PostDataUsed,Notes,TopologyNotes
P147-1010-2,J10号住居跡,S147,1010,2,6.06,5.84,28.08,oval,円形,Main,5,3,加曽利E1式後半~加曽利E2式前半,加曽利E1式後半,加曽利E2式前半,Kasori E1 Late,Kasori E2 Early,Kasori E1 Late~Kasori E2 Early,-4905,-4770,-4837.5,P147-1010-1,,,,,,,,,,,,,8,yes,,2 rebuilds at same location
P147-1010-3,J10号住居跡,S147,1010,3,6.06,5.84,31.09,oval,楕円形,Main,5,3,加曽利E1式後半~加曽利E2式前半,加曽利E1式後半,加曽利E2式前半,Kasori E1 Late,Kasori E2 Early,Kasori E1 Late~Kasori E2 Early,-4905,-4770,-4837.5,P147-1010-1,P147-1010-2,,,,,,,,,,,,8,yes,,2 rebuilds at same location
P147-1011-1,J11号住居跡,S147,1011,1,5.49,5.26,22.44,oval,円形に近い楕円形,Main,5,3,加曽利E1式後半~加曽利E2式前半,加曽利E1式後半,加曽利E2式前半,Kasori E1 Late,Kasori E2 Early,Kasori E1 Late~Kasori E2 Early,-4905,-4770,-4837.5,,,,,,,,,,,,,,8,yes,,2 rebuilds at same location
P147-1011-2,J11号住居跡,S147,1011,2,5.52,5.49,23.76,oval,円形に近い楕円形,Main,5,3,加曽利E1式後半~加曽利E2式前半,加曽利E1式後半,加曽利E2式前半,Kasori E1 Late,Kasori E2 Early,Kasori E1 Late~Kasori E2 Early,-4905,-4770,-4837.5,P147-1011-1,,,,,,,,,,,,,8,yes,,2 rebuilds at same location
P147-1011-3,J11号住居跡,S147,1011,3,5.86,5.49,27.47,oval,円形に近い楕円形,Main,6,3,加曽利E1式後半~加曽利E2式前半,加曽利E1式後半,加曽利E2式前半,Kasori E1 Late,Kasori E2 Early,Kasori E1 Late~Kasori E2 Early,-4905,-4770,-4837.5,P147-1011-1,P147-1011-2,,,,,,,,,,,,8,yes,,2 rebuilds at same location
P147-1012-1,J12号住居跡,S147,1012,1,5.2,4.4,18.51,oval,楕円形,Main,4,3?,加曽利E2式,加曽利E2式,加曽利E2式,Kasori E2,Kasori E2,Kasori E2~Kasori E2,-4860,-4730,-4795,,,,,,,,,,,,,,8,diameter,"Report shows 3 builds under 構築回数, but doesn't show anything else to support rebuild. Slope affected posthole depth measurements on the west side.",
P147-1013-1,J13号住居跡,S147,1013,1,uk,uk,,uk,隅丸方形,Main,4,4,加曽利E2式,加曽利E2式,加曽利E2式,Kasori E2,Kasori E2,Kasori E2~Kasori E2,-4860,-4730,-4795,,,,,,,,,,,,,,8,yes,,3 rebuilds at same location
P147-1013-2,J13号住居跡,S147,1013,2,4.7,4.4,17.41,oval,隅丸方形,Main,4,4,加曽利E2式,加曽利E2式,加曽利E2式,Kasori E2,Kasori E2,Kasori E2~Kasori E2,-4860,-4730,-4795,P147-1013-1,,,,,,,,,,,,,8,yes,,3 rebuilds at same location
P147-1013-3,J13号住居跡,S147,1013,3,5.2,4.93,22.18,oval,隅丸方形,MainWall,4,4,加曽利E2式,加曽利E2式,加曽利E2式,Kasori E2,Kasori E2,Kasori E2~Kasori E2,-4860,-4730,-4795,P147-1013-1,P147-1013-2,,,,,,,,,,,,8,yes,,3 rebuilds at same location
P147-1013-4,J13号住居跡,S147,1013,4,5.4,5.24,24.8,oval,隅丸方形,MainWall,5-6,4,加曽利E2式,加曽利E2式,加曽利E2式,Kasori E2,Kasori E2,Kasori E2~Kasori E2,-4860,-4730,-4795,P147-1013-1,P147-1013-2,P147-1013-3,,,,,,,,,,,8,yes,"Basic description says 6 main pillars, but only shows 5 on drawing and pillar descriptions",3 rebuilds at same location
P147-1014-1,J14号住居跡,S147,1014,1,5.6,5.17,22.59,oval,楕円形に近い五角形,Main,5,2,加曽利E1式,加曽利E1式,加曽利E1式,Kasori E1,Kasori E1,Kasori E1~Kasori E1,-4950,-4860,-4905,P147-1016-1,P147-1018-1,,,,,,,,,,,,8,diameter,Doesn't provide different measurments for different rebuilds. Cuts into J16号住居跡 and J18号住居跡 making it newer than both.,"2 rebuilds at same location, P147-1014-1 cuts into P147-1016-1, P147-1014-1 cuts into P147-1018-1"
P147-1014-2,J14号住居跡,S147,1014,2,5.6,5.17,22.59,oval,楕円形に近い五角形,Main,5,2,加曽利E1式,加曽利E1式,加曽利E1式,Kasori E1,Kasori E1,Kasori E1~Kasori E1,-4950,-4860,-4905,P147-1014-1,P147-1016-1,P147-1018-1,,,,,,,,,,,8,diameter,Doesn't provide different measurments for different rebuilds,"2 rebuilds at same location, P147-1014-2 cuts into P147-1016-1, P147-1014-2 cuts into P147-1018-1"
P147-1015-1,J15号住居跡,S147,1015,1,6.36,6.08,31.88,oval,やや方形気味の円形,Main,6,n,加曽利E1式後半~加曽利E2式前半,加曽利E1式後半,加曽利E2式前半,Kasori E1 Late,Kasori E2 Early,Kasori E1 Late~Kasori E2 Early,-4905,-4770,-4837.5,P147-1016-1,,,,,,,,,,,,,8,yes,,"P147-1015-1 cuts into P147-1016-1, making it older."
P147-1016-1,J16号住居跡,S147,1016,1,3.5,3.42,10.9,oval,推定すると楕円形,Main,4,n,勝坂式終末~加曽利E1式前半,勝坂式終末,加曽利E1式前半,Katsuzuka End,Kasori E1 Early,Katsuzuka End~Kasori E1 Early,-5030,-4905,-4967.5,,,,,,,,,,,,,,8,yes,"Located at side of hill. J15号住居跡 cuts into J16号住居跡, making it difficult to determine specific shape. Not all pillars recorded.","P147-1014-1 cuts into P147-1016-1, P147-1014-2 cuts into P147-1016-1, P147-1015-1 cuts into P147-1016-1, making it older."
P147-1017-1,J17号住居跡,S147,1017,1,3.1,2.9,6.99,oval,推定すると楕円形,Main,4,n,勝坂3式,勝坂3式,勝坂3式,Katsuzuka 3,Katsuzuka 3,Katsuzuka 3~Katsuzuka 3,-5100,-4950,-5025,,,,,,,,,,,,,,8,yes,Located on slope. East side degraded,
P147-1018-1,J18号住居跡,S147,1018,1,3.8,3.48,11.13,oval,楕円形,Main,4,n?,勝坂3式,勝坂3式,勝坂3式,Katsuzuka 3,Katsuzuka 3,Katsuzuka 3~Katsuzuka 3,-5100,-4950,-5025,,,,,,,,,,,,,,8,yes,"J15号住居跡 cuts into J18号住居跡 on the south side. J14号住居跡 cuts into J18号住居跡 on the north side. It appears the hearth has been moved once, but the pillars have not. Unsure whether rebuild or not.","P147-1014-1 cuts into P147-1018-1, P147-1014-2 cuts into P147-1018-1 on the north side, P147-1015-1 cuts into P147-1018-1 on the south side"
P147-1019-1,J19号住居跡,S147,1019,1,uk,uk,,uk,推定すると円形か楕円形,Main,uk,n,勝坂3式,勝坂3式,勝坂3式,Katsuzuka 3,Katsuzuka 3,Katsuzuka 3~Katsuzuka 3,-5100,-4950,-5025,,,,,,,,,,,,,,8,yes,Poorly preserved. Full extent of dwelling unknown.,
P147-1020-1,J20号住居跡,S147,1020,1,uk,uk,,uk,五角形,Main,5,4,加曽利E1式,加曽利E1式,加曽利E1式,Kasori E1,Kasori E1,Kasori E1~Kasori E1,-4950,-4860,-4905,P147-1037-1,,,,,,,,,,,,,8,yes,Overlapping with J22号住居跡 and J37号住居跡. Relationship with J22号住居跡 unknown due to erosion.J20号住居跡 newer than J37号住居跡,P147-1020-1 cuts into P147-1037-1 from the north side making it newer
P147-1020-2,J20号住居跡,S147,1020,2,uk,uk,,uk,五角形,Main,5,4,加曽利E1式,加曽利E1式,加曽利E1式,Kasori E1,Kasori E1,Kasori E1~Kasori E1,-4950,-4860,-4905,P147-1037-1,P147-1020-1,,,,,,,,,,,,8,yes,Overlapping with J22号住居跡 and J37号住居跡. Relationship with J22号住居跡 unknown due to erosion.J20号住居跡 newer than J37号住居跡,P147-020-2 cuts into P147-037-1 from the north side making it newer
P147-1020-3,J20号住居跡,S147,1020,3,uk,uk,,uk,五角形,Main,5,4,加曽利E1式,加曽利E1式,加曽利E1式,Kasori E1,Kasori E1,Kasori E1~Kasori E1,-4950,-4860,-4905,P147-1037-1,P147-1020-1,P147-1020-2,,,,,,,,,,,8,yes,Overlapping with J22号住居跡 and J37号住居跡. Relationship with J22号住居跡 unknown due to erosion.J20号住居跡 newer than J37号住居跡,P147-020-3 cuts into P147-037-1 from the north side making it newer
P147-1020-4,J20号住居跡,S147,1020,4,5.2,4.6,19.4,oval,六角形,Main,6,4,加曽利E1式,加曽利E1式,加曽利E1式,Kasori E1,Kasori E1,Kasori E1~Kasori E1,-4950,-4860,-4905,P147-1037-1,P147-1020-1,P147-1020-2,P147-1020-3,,,,,,,,,,8,yes,Overlapping with J22号住居跡 and J37号住居跡. Relationship with J22号住居跡 unknown due to erosion.J20号住居跡 newer than J37号住居跡,P147-020-4 cuts into P147-037-1 from the north side making it newer
P147-1021-1,J21号住居跡,S147,1021,1,5.14,4.9,21.22,oval,隅丸方形(入口部が張り出す),MainWall,5,n,加曽利E2式,加曽利E2式,加曽利E2式,Kasori E2,Kasori E2,Kasori E2~Kasori E2,-4860,-4730,-4795,,,,,,,,,,,,,,8,yes,Located on hill. SW corner partially eroded.,
P147-1022-1,J22号住居跡,S147,1022,1,4.4,4,15.2,oval,推定すると楕円形,Main,4,n,加曽利E2式,加曽利E2式,加曽利E2式,Kasori E2,Kasori E2,Kasori E2~Kasori E2,-4860,-4730,-4795,P147-1037-1,,,,,,,,,,,,,8,yes,Heavy erosion and damage from heavy equipment. Overlapping with J20号住居跡 and J37号住居跡. Newer than J37号住居跡. Relationship with J20号住居跡 unknown.   ,P147-1022-1 cuts into P147-037-1 from the south side making it newer
P147-1023-1,J23号住居跡,S147,1023,1,4.68,4,15.2,oval,楕円形,uk,5,2,勝坂式終末~加曽利E1式前半,勝坂式終末,加曽利E1式前半,Katsuzuka End,Kasori E1 Early,Katsuzuka End~Kasori E1 Early,-5030,-4905,-4967.5,,,,,,,,,,,,,,8,diameter,Erosion obscures perimiter of site. Size estimated. Drawings don't show clear location of postholes.,Rebuild
P147-1023-2,J23号住居跡,S147,1023,2,5.74,5,22.54,oval,楕円形,uk,5,2,勝坂式終末~加曽利E1式前半,勝坂式終末,加曽利E1式前半,Katsuzuka End,Kasori E1 Early,Katsuzuka End~Kasori E1 Early,-5030,-4905,-4967.5,P147-1023-1,,,,,,,,,,,,,8,diameter,Erosion obscures perimiter of site. Size estimated. Drawings don't show clear location of postholes.,Rebuild
P147-1024-1,J24号住居跡,S147,1024,1,5.2,4.68,19.68,oval,楕円形,Main,5,n,加曽利E2式後半~加曽利E3式前半,加曽利E2式後半,加曽利E3式前半,Kasori E2 Late,Kasori E3 Early,Kasori E2 Late~Kasori E3 Early,-4770,-4635,-4702.5,,,,,,,,,,,,,,8,yes,,
P147-1025-1,J25号住居跡,S147,1025,1,4.3,4.12,14.24,oval,(推定)楕円形,Main,5,,加曽利E2式,加曽利E2式,加曽利E2式,Kasori E2,Kasori E2,Kasori E2~Kasori E2,-4860,-4730,-4795,P147-1026-1,P147-1026-2,,,,,,,,,,,,8,diameter,J25号住居跡 built on top of J26号住居跡 but not considered regular rebuild. ,P147-1025-1 built over original P147-1026-1 and rebuilds P147-1026-2 and P147-1026-3
P147-1026-1,J26号住居跡,S147,1026,1,3.93,3.76,12.12,oval,楕円形,Main,4,3,勝坂3式,勝坂3式,勝坂3式,Katsuzuka 3,Katsuzuka 3,Katsuzuka 3~Katsuzuka 3,-5100,-4950,-5025,,,,,,,,,,,,,,8,diameter,"Initial phases probably can't be used. J26号住居跡 was built 3 times, but can't determine which posts belong to initial and first rebuild. J25号住居跡 built on top of J26号住居跡 but not considered regular rebuild. Separate measurements for rebuilds of J26号住居跡 not given. Post holes seem to be in similar positions and outer wall might be shared.",P147-1025-1 built over original P147-1026-1 and rebuilds P147-1026-2 and P147-1026-3
P147-1026-2,J26号住居跡,S147,1026,2,3.93,3.76,12.12,oval,楕円形,Main,4,3,勝坂3式,勝坂3式,勝坂3式,Katsuzuka 3,Katsuzuka 3,Katsuzuka 3~Katsuzuka 3,-5100,-4950,-5025,P147-1026-1,,,,,,,,,,,,,8,diameter,"Initial phases probably can't be used. J26号住居跡 was built 3 times, but can't determine which posts belong to initial and first rebuild. J25号住居跡 built on top of J26号住居跡 but not considered regular rebuild. Separate measurements for rebuilds of J26号住居跡 not given. Post holes seem to be in similar positions and outer wall might be shared.",P147-1025-1 built over original P147-1026-1 and rebuilds P147-1026-2 and P147-1026-3
P147-1026-3,J26号住居跡,S147,1026,3,3.93,3.76,12.12,oval,楕円形,Main,4,3,勝坂3式,勝坂3式,勝坂3式,Katsuzuka 3,Katsuzuka 3,Katsuzuka 3~Katsuzuka 3,-5100,-4950,-5025,P147-1026-1,P147-1026-2,,,,,,,,,,,,8,diameter,"Initial phases probably can't be used. J26号住居跡 was built 3 times, but can't determine which posts belong to initial and first rebuild. J25号住居跡 built on top of J26号住居跡 but not considered regular rebuild. Separate measurements for rebuilds of J26号住居跡 not given. Post holes seem to be in similar positions and outer wall might be shared.",P147-1025-1 built over original P147-1026-1 and rebuilds P147-1026-2 and P147-1026-3
P147-1027-1,J27号住居跡,S147,1027,1,5,4.26,17.04,oval,楕円形,MainWall,4,n,加曽利E2式,加曽利E2式,加曽利E2式,Kasori E2,Kasori E2,Kasori E2~Kasori E2,-4860,-4730,-4795,P147-1028-1,P147-1028-2,P147-1028-3,P147-1028-4,P147-1028-5,,,,,,,,,8,yes,"East side overlaps J28号住居跡, making it newer than J27号住居跡. Possible wall posts are indicated in the drawings, but not in description.",P147-1027-1 built over P147-1028-1 and subsequent rebuilds
P147-1028-1,J28号住居跡,S147,1028,1,4.7,4.2,15.6,oval,楕円形,Main,4,5,加曽利E1式後半~加曽利E2式前半,加曽利E1式後半,加曽利E2式前半,Kasori E1 Late,Kasori E2 Early,Kasori E1 Late~Kasori E2 Early,-4905,-4770,-4837.5,,,,,,,,,,,,,,8,yes,"West side is overlapped by J27号住居跡 making J28号住居跡 older. East side of pithouse is on a slope and is somewhat eroded, but size can still be estimated. Built a total of 5 times.",P147-1027-1 built over P147-1028-1 and subsequent rebuilds
P147-1028-2,J28号住居跡,S147,1028,2,4.7,4.2,15.6,oval,楕円形,Main,4,5,加曽利E1式後半~加曽利E2式前半,加曽利E1式後半,加曽利E2式前半,Kasori E1 Late,Kasori E2 Early,Kasori E1 Late~Kasori E2 Early,-4905,-4770,-4837.5,P147-1028-1,,,,,,,,,,,,,8,yes,"West side is overlapped by J27号住居跡 making J28号住居跡 older. East side of pithouse is on a slope and is somewhat eroded, but size can still be estimated. Built a total of 5 times.",P147-1027-1 built over P147-1028-1 and subsequent rebuilds
P147-1028-3,J28号住居跡,S147,1028,3,4.96,4.45,17.4,oval,楕円形,MainWall,5,5,加曽利E1式後半~加曽利E2式前半,加曽利E1式後半,加曽利E2式前半,Kasori E1 Late,Kasori E2 Early,Kasori E1 Late~Kasori E2 Early,-4905,-4770,-4837.5,P147-1028-1,P147-1028-2,,,,,,,,,,,,8,yes,"West side is overlapped by J27号住居跡 making J28号住居跡 older. East side of pithouse is on a slope and is somewhat eroded, but size can still be estimated. Built a total of 5 times.",P147-1027-1 built over P147-1028-1 and subsequent rebuilds
P147-1028-4,J28号住居跡,S147,1028,4,4.96,4.45,17.4,oval,楕円形,MainWall,5,5,加曽利E1式後半~加曽利E2式前半,加曽利E1式後半,加曽利E2式前半,Kasori E1 Late,Kasori E2 Early,Kasori E1 Late~Kasori E2 Early,-4905,-4770,-4837.5,P147-1028-1,P147-1028-2,P147-1028-3,,,,,,,,,,,8,yes,"West side is overlapped by J27号住居跡 making J28号住居跡 older. East side of pithouse is on a slope and is somewhat eroded, but size can still be estimated. Built a total of 5 times.",P147-1027-1 built over P147-1028-1 and subsequent rebuilds
P147-1028-5,J28号住居跡,S147,1028,5,5.16,5,19.9,oval,円形,MainWall,6,5,加曽利E1式後半~加曽利E2式前半,加曽利E1式後半,加曽利E2式前半,Kasori E1 Late,Kasori E2 Early,Kasori E1 Late~Kasori E2 Early,-4905,-4770,-4837.5,P147-1028-1,P147-1028-2,P147-1028-3,P147-1028-4,,,,,,,,,,8,yes,"West side is overlapped by J27号住居跡 making J28号住居跡 older. East side of pithouse is on a slope and is somewhat eroded, but size can still be estimated. Built a total of 5 times.",P147-1027-1 built over P147-1028-1 and subsequent rebuilds
P147-1029-1,J29号住居跡,S147,1029,1,4.96,4.6,18.72,oval,丸みのある五角形,Main,4,2,加曽利E1式後半~加曽利E2式前半,加曽利E1式後半,加曽利E2式前半,Kasori E1 Late,Kasori E2 Early,Kasori E1 Late~Kasori E2 Early,-4905,-4770,-4837.5,,,,,,,,,,,,,,8,diameter,"Shape described as rounded pentagon, but initial building had 4 pillars initially, and was rebuilt in a 5 pillar configuration. J30号住居跡 cuts into J29号住居跡 on the south side, making J29号住居跡 older. ",P147-1030-1 cuts into P147-1029-1 and the rebuild P147-1029-2 on the south side.
P147-1029-2,J29号住居跡,S147,1029,2,4.96,4.6,18.72,oval,丸みのある五角形,Main,5,2,加曽利E1式後半~加曽利E2式前半,加曽利E1式後半,加曽利E2式前半,Kasori E1 Late,Kasori E2 Early,Kasori E1 Late~Kasori E2 Early,-4905,-4770,-4837.5,P147-1029-1,,,,,,,,,,,,,8,diameter,"Shape described as rounded pentagon, but initial building had 4 pillars initially, and was rebuilt in a 5 pillar configuration. J30号住居跡 cuts into J29号住居跡 on the south side, making J29号住居跡 older. ",P147-1030-1 cuts into P147-1029-1 and the rebuild P147-1029-2 on the south side.
P147-1030-1,J30号住居跡,S147,1030,1,5.54,5.46,24.19,oval,円形,Main,5,1,加曽利E2式,加曽利E2式,加曽利E2式,Kasori E2,Kasori E2,Kasori E2~Kasori E2,-4860,-4730,-4795,P147-1029-1,P147-1029-2,P147-1039-1,P147-1039-2,,,,,,,,,,8,yes,J30号住居跡 was built over J39号住居跡 mostly destroying the earlier structure. J30号住居跡 and J39号住居跡 listed together due to overlapping structures.,"P147-1030-1 cuts into P147-1029-1 and the rebuild P147-1029-2 on the south side, P147-1030-1 was built on top of P147-1039-1 and subsequent rebuild P147-1039-2"
P147-1039-1,J39号住居跡,S147,1039,1,uk,uk,,uk,不明,Main,4,2,勝坂3式か勝坂最終末~加曽利E1式前半,勝坂3式,加曽利E1式前半,Katsuzuka 3,Kasori E1 Early,Katsuzuka 3~Kasori E1 Early,-5100,-4905,-5002.5,,,,,,,,,,,,,,8,yes,J39号住居跡 was mostly destroyed when J30号住居跡 was built over it. Original phase listed for J39号住居跡 is 勝坂3式か勝坂式最終末~加曽利El式前半期. J30号住居跡 and J39号住居跡 listed together due to overlapping structures.,P147-1030-1 was built on top of P147-1039-1 and subsequent rebuild P147-1039-2
P147-1039-2,J39号住居跡,S147,1039,2,uk,uk,,uk,不明,Main,5,2,勝坂3式か勝坂最終末~加曽利E1式前半,勝坂3式,加曽利E1式前半,Katsuzuka 3,Kasori E1 Early,Katsuzuka 3~Kasori E1 Early,-5100,-4905,-5002.5,P147-1039-1,,,,,,,,,,,,,8,yes,J39号住居跡 was mostly destroyed when J30号住居跡 was built over it. Original phase listed for J39号住居跡 is 勝坂3式か勝坂式最終末~加曽利El式前半期. J30号住居跡 and J39号住居跡 listed together due to overlapping structures.,P147-1030-1 was built on top of P147-1039-1 and subsequent rebuild P147-1039-2
P147-1031-1,J31号住居跡,S147,1031,1,3.67,3.62,11.19,oval,丸みを帯びる五角形,Main,4,2,加曽利E2式,加曽利E2式,加曽利E2式,Kasori E2,Kasori E2,Kasori E2~Kasori E2,-4860,-4730,-4795,P147-1032-1,P147-1050-1,,,,,,,,,,,,8,diameter,J31号住居跡 was built on top of older pithouses J32号住居跡 and J50号住居跡,P147-1031-1 and subsequent rebuilding P147-1031-2 was built on top of previous pithouses P147-1032-1 and P147-1050-1
P147-1031-2,J31号住居跡,S147,1031,2,4.85,4.52,18.8,oval,丸みを帯びる五角形,Main,5,2,加曽利E2式,加曽利E2式,加曽利E2式,Kasori E2,Kasori E2,Kasori E2~Kasori E2,-4860,-4730,-4795,P147-1031-1,P147-1032-1,P147-1050-1,,,,,,,,,,,8,diameter,J31号住居跡 was built on top of older pithouses J32号住居跡 and J50号住居跡,P147-1031-1 and subsequent rebuilding P147-1031-2 was built on top of previous pithouses P147-1032-1 and P147-1050-1
P147-1032-1,J32号住居跡,S147,1032,1,4.22,3.92,12.22,oval,円形に近い楕円形,Main,4,n,加曽利E1式後半~加曽利E2式前半,加曽利E1式後半,加曽利E2式前半,Kasori E1 Late,Kasori E2 Early,Kasori E1 Late~Kasori E2 Early,-4905,-4770,-4837.5,P147-1050-1,,,,,,,,,,,,,8,yes,J32号住居跡 was built prior to J32号住居跡 but after J50号住居跡. J32号住居跡 is listed together with J50号住居跡 as the dwellings directly overlap.,P147-1032-1 was built after P147-1050-1 but prior to P147-1031-1 and rebuild P147-1031-2
P147-1050-1,J50号住居跡,S147,1050,1,5.15,4.85,19.78,oval,円形に近い楕円形,Main,5,n,加曽利E1式,加曽利E1式,加曽利E1式,Kasori E1,Kasori E1,Kasori E1~Kasori E1,-4950,-4860,-4905,,,,,,,,,,,,,,8,yes,J50号住居跡 was built prior to J32号住居跡 and J31号住居跡. J50号住居跡 is listed together with J32号住居跡 as the dwellings directly overlap. Wall and floor area damaged from farm equipment.,P147-1050-1 was built prior to P147-1032-1 and the following P147-1031-1 and P147-1031-2 rebuild
P147-1033-1,J33号住居跡,S147,1033,1,4.72,4.17,15.63,oval,推定楕円形,MainWall,4,1,加曽利E1式後半~加曽利E2式前半,加曽利E1式後半,加曽利E2式前半,Kasori E1 Late,Kasori E2 Early,Kasori E1 Late~Kasori E2 Early,-4905,-4770,-4837.5,P147-1049-1,P147-1049-2,,,,,,,,,,,,8,yes,"J33号住居跡 built over J49号住居跡, making J33号住居跡 newer. Appears both J33号住居跡 and J49号住居跡 were rebuilt, possibly more than once, but two clear stages could be seen for both pithouses.",P147-1033-1 and P147-1033-2 were built after P147-1049-1 and rebuild P147-1049-2
P147-1033-2,J33号住居跡,S147,1033,2,5.36,5.03,19.87,oval,推定楕円形,MainWall,5,2,加曽利E1式後半~加曽利E2式前半,加曽利E1式後半,加曽利E2式前半,Kasori E1 Late,Kasori E2 Early,Kasori E1 Late~Kasori E2 Early,-4905,-4770,-4837.5,P147-1049-1,P147-1049-2,P147-1033-1,,,,,,,,,,,8,yes,"J33号住居跡 built over J49号住居跡, making J33号住居跡 newer. Appears both J33号住居跡 and J49号住居跡 were rebuilt, possibly more than once, but two clear stages could be seen for both pithouses.",P147-1033-1 and P147-1033-2 were built after P147-1049-1 and rebuild P147-1049-2
