master_id,region,region_number,region_name,region_prefectures,site_name,site_name_dup_fix,site_name_period_mean,site_name_rom,site_occurances,site_period_occurances,location,specimin_number,sex,sex_unified,age_range,age_min,age_max,age_min_noxon,age_max_noxon,over_5_values,percentage_value_5_19,output_values_5_19,range_value_5_under,output_values_0_5,age_mean,culture_area,period,period_start,period_end,period_range,calBPmax,calBPmin,phase_start,phase_end,phase_mean_round,period_eng,period_min,period_max,period_numeric,period_min_kudo,period_max_kudo,period_min_noxon,period_max_noxon,period_min_neg_noxon,period_max_neg_noxon,period_mean_noxon,period_mean_round_noxon,burial_posture_1,burial_posture_2,cephalic_direction,burial_shape_1,burial_shape_2,burial_postition_location,upper_construction,lower_construction,burial_type,dental_equation,personal_accessories-_contents_location,grave_good_number_of,red_pigment_application_location,bone_lesions_presence_location_description,"injuries_sustained_during_life_presence,_location_description",frontal_suture,interparietal_bone_inca,right_lamboidal_sutural_ossicles,left_lamboidal_sutural_ossicles,right_zygomatic_horizontal_suture_remaining,left_zygomatic_horizontal_suture_remaining,right_supraorbital_foramen,left_supraorbital_foramen,right_condyloid_canal,left_condyloid_canal,right_hypoglossal_canal_bisects,left_hypoglossal_canal_bisects,right_parietal _foramen,left_parietal_foramen,references
408,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",妙音寺洞穴,妙音寺洞穴,妙音寺洞穴-11295,Myoonji Cave,1,153,,,男性,M,壮年期(21-39),21,39,21,39,1,0,0,0,0,30,第四地域（関東～中部）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,-15540,-7050,-11295,Initial,早期(Initial),早期(Initial),,U,#ERROR!,U,#ERROR!,U,U,#DIV/0!,#DIV/0!,下臥左側,伸展葬(extended burial),,,,,,,,*MMPPCIIIICPPMM* : MMMPPCIIIICPPMM#,,,なし,確認できます,右側頭部骨折,なし,あり,なし,不明,なし,なし,なし,なし,不明,不明,なし,なし,不明,不明,埼玉県埋蔵文化財事業団１９９９
409,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",幸田貝塚,幸田貝塚,幸田貝塚-6233,Kode Shellmound,1,1,,３８号住居跡出土人骨,不明,U,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第四地域（関東～中部）,前期(Early),Early Jomon,Early Jomon,Early Jomon_Early Jomon,7050,5415,-7050,-5415,-6233,Early,前期(Early),前期(Early),,6100,#ERROR!,6100,#ERROR!,-6100,-4700,-5400,-5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",国分旧練兵場貝塚,国分旧練兵場貝塚,国分旧練兵場貝塚-6233,Kokubukyurenpeijo Shellmound,1,1,,１９５７年度出土人骨,不明,U,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第四地域（関東～中部）,前期(Early),Early Jomon,Early Jomon,Early Jomon_Early Jomon,7050,5415,-7050,-5415,-6233,Early,前期(Early),前期(Early),,6100,#ERROR!,6100,#ERROR!,-6100,-4700,-5400,-5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",黒谷貝塚,黒谷貝塚,黒谷貝塚-6233,Kuroya Shellmound,1,1,,１９３９年度出土人骨,遺存状態不良で不明,U,幼児期(2-5),2,5,2,5,0.25,0.25,0.25,1,1,3.5,第四地域（関東～中部）,前期(Early),Early Jomon,Early Jomon,Early Jomon_Early Jomon,7050,5415,-7050,-5415,-6233,Early,前期(Early),前期(Early),,6100,#ERROR!,6100,#ERROR!,-6100,-4700,-5400,-5400,不明,不明,SW,単葬,単独葬(individual burial),住居跡内(buried in dwelling),確認できます,土壙（無配石）,土坑墓(earthen grave),,,骨製品２,不明,,,,,,,,,,,,,,,,,久持情雄‐藤沢宗平１９４０
412,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",水子貝塚,水子貝塚,水子貝塚-6233,Mizugo Shellmound,1,1,,１９９２年度人骨,女性,F,壮年期(21-39),21,39,21,39,1,0,0,0,0,30,第四地域（関東～中部）,前期(Early),Early Jomon,Early Jomon,Early Jomon_Early Jomon,7050,5415,-7050,-5415,-6233,Early,前期(Early),前期(Early),,6100,#ERROR!,6100,#ERROR!,-6100,-4700,-5400,-5400,下臥左側,屈葬(crouched burial),W,単葬,単独葬(individual burial),住居跡覆土(buried in dwelling covered with soil),確認できます,不明,,,,,なし,,,,,,,,,,,,,,,,,富士見市教育委員会１９９５
413,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",打越貝塚,打越貝塚,打越貝塚-6233,Okkoshi Shellmound,2,2,,７５号住居跡出土人骨１,男性,M,壮年期(21-39),21,39,21,39,1,0,0,0,0,30,第四地域（関東～中部）,前期(Early),Early Jomon,Early Jomon,Early Jomon_Early Jomon,7050,5415,-7050,-5415,-6233,Early,前期(Early),前期(Early),,6100,#ERROR!,6100,#ERROR!,-6100,-4700,-5400,-5400,下臥右側,屈葬(crouched burial),W,単葬,単独葬(individual burial),土坑内(earthen pit),確認できます,土壙（無配石）,土坑墓(earthen grave),,,,なし,,,,,,,,,,,,,,,,,富士見市教育委員会１９７８
414,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",打越貝塚,打越貝塚,打越貝塚-6233,Okkoshi Shellmound,2,2,,７５号住居跡出土人骨２,子供で不明,U,小児期(6-12),6,12,6,12,1,1,1,0,0,9,第四地域（関東～中部）,前期(Early),Early Jomon,Early Jomon,Early Jomon_Early Jomon,7050,5415,-7050,-5415,-6233,Early,前期(Early),前期(Early),,6100,#ERROR!,6100,#ERROR!,-6100,-4700,-5400,-5400,不明,不明,不明,単葬,単独葬(individual burial),住居跡覆土(buried in dwelling covered with soil),確認できます,不明,,,,,なし,,,,,,,,,,,,,,,,,富士見市教育委員会１９７８
415,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",大谷寺洞穴,大谷寺洞穴,大谷寺洞穴-6233,Oyaji Cave,2,1,,関山期人骨,,X,,X,X,X,X,0,#VALUE!,0,#VALUE!,0,U,第四地域（関東～中部）,前期(Early),Early Jomon,Early Jomon,Early Jomon_Early Jomon,7050,5415,-7050,-5415,-6233,Early,前期(Early),前期(Early),,6100,#ERROR!,6100,#ERROR!,-6100,-4700,-5400,-5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",天神前遺跡,天神前遺跡,天神前遺跡-6233,Tenjinmae Site,1,1,,４０号土壙出土人骨,女性,F,壮年期(21-39),21,39,21,39,1,0,0,0,0,30,第四地域（関東～中部）,前期(Early),Early Jomon,Early Jomon,Early Jomon_Early Jomon,7050,5415,-7050,-5415,-6233,Early,前期(Early),前期(Early),,6100,#ERROR!,6100,#ERROR!,-6100,-4700,-5400,-5400,座葬(seated burial),屈葬(crouched burial),NW,単葬,単独葬(individual burial),土坑内(earthen pit),確認できます,土壙（無配石）,土坑墓(earthen grave),,,,なし,,,,,,,,,,,,,,,,,蓮田市教育委員会１９９４
417,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",さら坊貝塚,さら坊貝塚,さら坊貝塚-4905,Sarabo Shellmound,1,1,,仮１号,遺存状態不良で不明,U,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第四地域（関東～中部）,中期(Middle),Middle Jomon,Middle Jomon,Middle Jomon_Middle Jomon,5415,4395,-5415,-4395,-4905,Middle,中期(Middle),中期(Middle),,4700,#ERROR!,4700,#ERROR!,-4700,-4000,-4350,-4350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",烏堀込貝塚,烏堀込貝塚,烏堀込貝塚-4905,Karasuhorikomi Shellmound,2,2,,１９８５年度出土１号人骨,男性,M,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第四地域（関東～中部）,中期(Middle),Middle Jomon,Middle Jomon,Middle Jomon_Middle Jomon,5415,4395,-5415,-4395,-4905,Middle,中期(Middle),中期(Middle),,4700,#ERROR!,4700,#ERROR!,-4700,-4000,-4350,-4350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",烏堀込貝塚,烏堀込貝塚,烏堀込貝塚-4905,Karasuhorikomi Shellmound,2,2,,１９８５年度出土１号人骨,遺存状態不良で不明,U,新生児期(neonatal),0,0,0,0,0,0,0,1,1,0,第四地域（関東～中部）,中期(Middle),Middle Jomon,Middle Jomon,Middle Jomon_Middle Jomon,5415,4395,-5415,-4395,-4905,Middle,中期(Middle),中期(Middle),,4700,#ERROR!,4700,#ERROR!,-4700,-4000,-4350,-4350,不明,不明,不明,不明,単独葬(individual burial),土坑内(earthen pit),確認できます,土壙（無配石）,土坑墓(earthen grave),,,,なし,,,,,,,,,,,,,,,,,高橋廣男１９８６
443,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",花積貝塚,花積貝塚,花積貝塚-4905,Hanazumi Shellmound,1,1,,,男性,M,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第四地域（関東～中部）,中期(Middle),Middle Jomon,Middle Jomon,Middle Jomon_Middle Jomon,5415,4395,-5415,-4395,-4905,Middle,中期(Middle),中期(Middle),,4700,#ERROR!,4700,#ERROR!,-4700,-4000,-4350,-4350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",虚空蔵貝塚,虚空蔵貝塚,虚空蔵貝塚-4905,Kokuzo Shellmound,1,1,,１９７２年度出土人骨,子供で不明,U,小児期(6-12),6,12,6,12,1,1,1,0,0,9,第四地域（関東～中部）,中期(Middle),Middle Jomon,Middle Jomon,Middle Jomon_Middle Jomon,5415,4395,-5415,-4395,-4905,Middle,中期(Middle),中期(Middle),,4700,#ERROR!,4700,#ERROR!,-4700,-4000,-4350,-4350,不明,伸展葬(extended burial),不明,単葬,単独葬(individual burial),更地(empty lot),,不明,,,,,なし,,,,,,,,,,,,,,,,,国士舘大学文学部考古学研究室１９７８
